libopus0:amd64	1.5.2-2	amd64
libp11-kit-dev:amd64	0.25.5-3	amd64
libp11-kit0:amd64	0.25.5-3	amd64
libpam-modules:amd64	1.7.0-5	amd64
libpam-modules-bin	1.7.0-5	amd64
libpam-runtime	1.7.0-5	all
libpam0g:amd64	1.7.0-5	amd64
libpango-1.0-0:amd64	1.56.3-1	amd64
libpango1.0-dev:amd64	1.56.3-1	amd64
libpangocairo-1.0-0:amd64	1.56.3-1	amd64
libpangoft2-1.0-0:amd64	1.56.3-1	amd64
libpangoxft-1.0-0:amd64	1.56.3-1	amd64
libpciaccess0:amd64	0.17-3+b3	amd64
libpcre2-16-0:amd64	10.46-1~deb13u1	amd64
libpcre2-32-0:amd64	10.46-1~deb13u1	amd64
libpcre2-8-0:amd64	10.46-1~deb13u1	amd64
libpcre2-dev:amd64	10.46-1~deb13u1	amd64
libpcre2-posix3:amd64	10.46-1~deb13u1	amd64
libperl5.40:amd64	5.40.1-6	amd64
libpgm-5.3-0t64:amd64	5.3.128~dfsg-2.1+b1	amd64
libpixman-1-0:amd64	0.44.0-3	amd64
libpixman-1-dev:amd64	0.44.0-3	amd64
libpkgconf3:amd64	1.8.1-4	amd64
libplacebo349:amd64	7.349.0-3	amd64
libpng-dev:amd64	1.6.48-1	amd64
libpng16-16t64:amd64	1.6.48-1	amd64
libpocketsphinx3:amd64	0.8+5prealpha+1-15+b4	amd64
libpostproc58:amd64	7:7.1.2-0+deb13u1	amd64
libpq-dev	17.6-0+deb13u1	amd64
libpq5:amd64	17.6-0+deb13u1	amd64
libproc2-0:amd64	2:4.0.4-9	amd64
libpsl-dev:amd64	0.21.2-1.1+b1	amd64
libpsl5t64:amd64	0.21.2-1.1+b1	amd64
libpulse0:amd64	17.0+dfsg1-2+b1	amd64
libpython3-stdlib:amd64	3.13.5-1	amd64
libpython3.13-minimal:amd64	3.13.5-2	amd64
libpython3.13-stdlib:amd64	3.13.5-2	amd64
libquadmath0:amd64	14.2.0-19	amd64
librabbitmq4:amd64	0.15.0-1	amd64
librav1e0.7:amd64	0.7.1-9+b2	amd64
libraw1394-11:amd64	2.1.2-2+b2	amd64
libraw23t64:amd64	0.21.4-2	amd64
libreadline-dev:amd64	8.2-6	amd64
libreadline8t64:amd64	8.2-6	amd64
librist4:amd64	0.2.11+dfsg-1	amd64
librsvg2-2:amd64	2.60.0+dfsg-1	amd64
librsvg2-common:amd64	2.60.0+dfsg-1	amd64
librsvg2-dev:amd64	2.60.0+dfsg-1	amd64
librtmp-dev:amd64	2.4+20151223.gitfa8646d.1-2+b5	amd64
librtmp1:amd64	2.4+20151223.gitfa8646d.1-2+b5	amd64
librubberband2:amd64	3.3.0+dfsg-2+b3	amd64
libsamplerate0:amd64	0.2.2-4+b2	amd64
libsasl2-2:amd64	2.1.28+dfsg1-9	amd64
libsasl2-modules-db:amd64	2.1.28+dfsg1-9	amd64
libsdl2-2.0-0:amd64	2.32.4+dfsg-1	amd64
libseccomp2:amd64	2.6.0-2	amd64
libselinux1:amd64	3.8.1-1	amd64
libselinux1-dev:amd64	3.8.1-1	amd64
libsemanage-common	3.8.1-1	all
libsemanage2:amd64	3.8.1-1	amd64
libsensors-config	1:3.6.2-2	all
libsensors5:amd64	1:3.6.2-2	amd64
libsepol-dev:amd64	3.8.1-1	amd64
libsepol2:amd64	3.8.1-1	amd64
libserd-0-0:amd64	0.32.4-1	amd64
libserf-1-1:amd64	1.3.10-3+b1	amd64
libsframe1:amd64	2.44-3	amd64
libsharpyuv-dev:amd64	1.5.0-0.1	amd64
libsharpyuv0:amd64	1.5.0-0.1	amd64
libshine3:amd64	3.1.1-2+b2	amd64
libslang2:amd64	2.3.3-5+b2	amd64
libsm-dev:amd64	2:1.2.6-1	amd64
libsm6:amd64	2:1.2.6-1	amd64
libsmartcols1:amd64	2.41-5	amd64
libsnappy1v5:amd64	1.2.2-1	amd64
libsndfile1:amd64	1.2.2-2+b1	amd64
libsodium23:amd64	1.0.18-1+b2	amd64
libsord-0-0:amd64	0.16.18-1	amd64
libsoxr0:amd64	0.1.3-4+b2	amd64
libspeex1:amd64	1.2.1-3	amd64
libsphinxbase3t64:amd64	0.8+5prealpha+1-21+b1	amd64
libsqlite3-0:amd64	3.46.1-7	amd64
libsqlite3-dev:amd64	3.46.1-7	amd64
libsratom-0-0:amd64	0.6.18-1	amd64
libsrt1.5-gnutls:amd64	1.5.4-1	amd64
libssh-4:amd64	0.11.2-1+deb13u1	amd64
libssh2-1-dev:amd64	1.11.1-1	amd64
libssh2-1t64:amd64	1.11.1-1	amd64
libssl-dev:amd64	3.5.1-1+deb13u1	amd64
libssl3t64:amd64	3.5.1-1+deb13u1	amd64
libstdc++-14-dev:amd64	14.2.0-19	amd64
libstdc++6:amd64	14.2.0-19	amd64
libsvn1:amd64	1.14.5-3	amd64
libsvtav1enc2:amd64	2.3.0+dfsg-1	amd64
libswresample5:amd64	7:7.1.2-0+deb13u1	amd64
libswscale8:amd64	7:7.1.2-0+deb13u1	amd64
libsysprof-capture-4-dev:amd64	48.0-2	amd64
libsystemd-shared:amd64	257.9-1~deb13u1	amd64
libsystemd0:amd64	257.9-1~deb13u1	amd64
libtasn1-6:amd64	4.20.0-2	amd64
libtasn1-6-dev:amd64	4.20.0-2	amd64
libtcl8.6:amd64	8.6.16+dfsg-1	amd64
libtext-charwidth-perl:amd64	0.04-11+b4	amd64
libtext-wrapi18n-perl	0.06-10	all
libthai-data	0.1.29-2	all
libthai-dev:amd64	0.1.29-2+b1	amd64
libthai0:amd64	0.1.29-2+b1	amd64
libtheoradec1:amd64	1.2.0~alpha1+dfsg-6	amd64
libtheoraenc1:amd64	1.2.0~alpha1+dfsg-6	amd64
libtiff-dev:amd64	4.7.0-3+deb13u1	amd64
libtiff6:amd64	4.7.0-3+deb13u1	amd64
libtiffxx6:amd64	4.7.0-3+deb13u1	amd64
libtinfo6:amd64	6.5+20250216-2	amd64
libtirpc-common	1.3.6+ds-1	all
libtirpc3t64:amd64	1.3.6+ds-1	amd64
libtk8.6:amd64	8.6.16-1	amd64
libtool	2.5.4-4	all
libtsan2:amd64	14.2.0-19	amd64
libtwolame0:amd64	0.4.0-2+b2	amd64
libubsan1:amd64	14.2.0-19	amd64
libudev1:amd64	257.9-1~deb13u1	amd64
libudfread0:amd64	1.1.2-1+b2	amd64
libunbound8:amd64	1.22.0-2	amd64
libunibreak6:amd64	6.1-3	amd64
libunistring5:amd64	1.3-2	amd64
libusb-1.0-0:amd64	2:1.0.28-1	amd64
libutf8proc3:amd64	2.9.0-1+b2	amd64
libuuid1:amd64	2.41-5	amd64
libva-drm2:amd64	2.22.0-3	amd64
libva-x11-2:amd64	2.22.0-3	amd64
libva2:amd64	2.22.0-3	amd64
libvdpau1:amd64	1.5-3+b1	amd64
libvidstab1.1:amd64	1.1.0-2+b2	amd64
libvorbis0a:amd64	1.3.7-3	amd64
libvorbisenc2:amd64	1.3.7-3	amd64
libvorbisfile3:amd64	1.3.7-3	amd64
libvpl2	1:2.14.0-1+b1	amd64
